game_id,season,week,temp,wind,calendar_week,focus_team,focus_score,focus_temp_delta,avg_temp,attempts,carries,passing_epa,rushing_epa,conventional_plays_ran,pass_to_run_ratio
2024_08_BUF_SEA,2024,8,55.0,14.0,43,SEA,10,5.639428571428567,49.36057142857143,29,17,1.1531145050552674,-10.882116138207493,46,1.7058823529411764
2024_08_CAR_DEN,2024,8,76.0,4.0,43,DEN,28,29.348349514563097,46.6516504854369,39,32,15.349420277780155,-2.4285039011738263,71,1.21875
2024_08_KC_LV,2024,8,70.0,0.0,43,LV,20,0.0,70.0,30,21,6.04688261405246,-9.91238265921129,51,1.4285714285714286
2024_08_CHI_WAS,2024,8,58.0,2.0,43,WAS,18,-1.4805825242718456,59.480582524271846,38,32,6.4380867029093345,-1.041393723571673,70,1.1875
2024_08_DAL_SF,2024,8,69.0,9.0,43,SF,30,8.560000000000002,60.44,26,36,7.321977107159839,3.1890356107995785,62,0.7222222222222222
2024_08_NYG_PIT,2024,8,54.0,7.0,44,PIT,26,4.91186813186814,49.08813186813186,28,31,3.762137920703955,1.3621888943598606,59,0.9032258064516129
2024_09_HOU_NYJ,2024,9,71.0,8.0,44,NYJ,21,17.95542857142857,53.04457142857143,32,21,8.60553915501805,-7.93565876892535,53,1.5238095238095237
2024_09_DAL_ATL,2024,9,70.0,0.0,44,ATL,27,0.0,70.0,24,30,7.454332029723563,-4.114219366922043,54,0.8
2024_09_DEN_BAL,2024,9,57.0,3.0,44,BAL,41,2.9371428571428524,54.06285714285715,19,34,19.339015614314043,2.6865131940984543,53,0.5588235294117647
2024_09_MIA_BUF,2024,9,54.0,9.0,44,BUF,30,6.250857142857143,47.74914285714286,39,19,8.926417083654227,0.7324411726253528,58,2.0526315789473686
2024_09_NO_CAR,2024,9,66.0,7.0,44,CAR,23,8.568076923076923,57.43192307692308,26,23,-0.5590030956693982,-1.2373680978780612,49,1.1304347826086956
2024_09_LV_CIN,2024,9,67.0,7.0,44,CIN,41,16.168571428571425,50.831428571428575,39,31,7.016673185370065,-0.9033616569649894,70,1.2580645161290323
2024_09_LAC_CLE,2024,9,57.0,10.0,44,CLE,10,6.448,50.552,46,24,-20.964322289520815,0.38435229542665184,70,1.9166666666666667
2024_09_WAS_NYG,2024,9,52.0,6.0,44,NYG,22,-1.0445714285714303,53.04457142857143,26,31,-1.9680125192096458,8.373534075333737,57,0.8387096774193549
2024_09_NE_TEN,2024,9,75.0,10.0,44,TEN,20,19.402857142857137,55.59714285714286,33,39,5.174849518574774,-4.361185667927986,72,0.8461538461538461
2024_09_CHI_ARI,2024,9,70.0,0.0,44,ARI,29,0.0,70.0,20,34,-1.323832549649353,3.339450086519813,54,0.5882352941176471
